location,GDP per capita
Afghanistan,1970.560181
Albania,13191.95215
Algeria,10735.38281
Angola,6110.274414
Antigua and Barbuda,17293.30273
Argentina,19690.66211
Armenia,12619.89258
Australia,48678.68359
Austria,51857.69141
Azerbaijan,13726.76953
Bahamas,30846.58398
Bahrain,41480.57813
Bangladesh,4871.446289
Barbados,12655.40137
Belarus,19186.77539
Belgium,48769.72656
Belize,6121.843262
Benin,3323.144531
Bermuda,76626.52344
Bhutan,10551.45215
Bolivia,7845.170898
Bosnia and Herzegovina,14509.26563
Botswana,14654.65137
Brazil,14063.98242
Brunei,62200.88281
Bulgaria,22379.09375
Burkina Faso,2155.769287
Burundi,731.0632324
Cambodia,4191.566406
Cameroon,3666.410645
Canada,46064.25391
Cape Verde,6045.061035
Cayman Islands,67871.19531
Central African Republic,936.2875977
Chad,1519.036743
Chile,23324.52539
China,16315.81543
Colombia,13448.93262
Comoros,2989.17041
Congo,3433.958984
Costa Rica,19903.14063
Cote d'Ivoire,5181.311035
Croatia,27076.97852
Curacao,20309.09766
Cyprus,38816.09375
Czechia,38511.26953
Democratic Republic of Congo,1082.44519
Denmark,55819.91016
Djibouti,5481.114746
Dominica,10288.86719
Dominican Republic,17003.01367
East Asia and Pacific,17548.12695
Ecuador,10329.19922
Egypt,11951.44727
El Salvador,7982.625977
Equatorial Guinea,17007.625
Estonia,35257.16016
Eswatini,8404.727539
Ethiopia,2296.827393
Europe and Central Asia,33480.15625
European Union,41713.88281
Fiji,11450.75098
Finland,47154.42578
France,42320.52344
Gabon,14320.84473
Gambia,2156.754639
Georgia,13966.32617
Germany,51423.23438
Ghana,5445.725586
Greece,27072.61914
Grenada,14488.53223
Guatemala,8393.28418
Guinea,2670.823242
Guinea-Bissau,1847.46582
Guyana,18679.95508
Haiti,2934.24585
High income,47952.49219
Honduras,5138.385254
Hong Kong,56153.97266
Hungary,31098.39648
Iceland,52375.67969
India,6165.746582
Indonesia,11444.96094
Iran,12644.44531
Iraq,9012.381836
Ireland,90789.21875
Israel,39056.41797
Italy,39073.41406
Jamaica,8761.019531
Japan,40232.21094
Jordan,9816.554688
Kazakhstan,25363.16602
Kenya,4339.856934
Kiribati,2259.497803
Kosovo,10706.51367
Kuwait,44847.05469
Kyrgyzstan,4714.938965
Laos,7810.734863
Latin America and Caribbean,14824.33008
Latvia,30100.26953
Lebanon,11488.41504
Lesotho,2316.987793
Liberia,1392.004883
Libya,10282.29102
Lithuania,37107.05859
Low and middle income,10273.04492
Low income,1988.428223
Lower middle income,6764.930664
Luxembourg,112557.3125
Macao,57728.98828
Madagascar,1463.86499
Malawi,1508.842896
Malaysia,26471.67383
Maldives,12744.42969
Mali,2225.894287
Malta,39979.69922
Marshall Islands,3932.247803
Mauritania,5109.805176
Mauritius,19462.93164
Mexico,17852.35938
Micronesia (country),3368.545898
Middle East and North Africa,15210.99316
Middle income,11224.4834
Moldova,12324.38867
Mongolia,11723.87305
Montenegro,18258.94922
Morocco,6986.283691
Mozambique,1229.940308
Myanmar,4857.389648
Namibia,8814.591797
Nauru,13594.49219
Nepal,3800.065674
Netherlands,54324.38281
New Zealand,42774.69141
Nicaragua,5280.099609
Niger,1221.269897
Nigeria,4916.721191
North America,58496.77734
North Macedonia,15931.3623
Norway,63548
Oman,29502.06055
Pakistan,4562.622559
Palau,15473.25195
Palestine,5394.071777
Panama,25389.8125
Papua New Guinea,4063.732178
Paraguay,12389.58691
Peru,11260.8457
Philippines,7953.581543
Poland,32398.70508
Portugal,31961.77539
Puerto Rico,32551.06836
Qatar,85290.45313
Romania,28870.92969
Russia,26456.38867
Rwanda,2098.710449
Saint Kitts and Nevis,24319.36328
Saint Lucia,12048.92773
Saint Vincent and the Grenadines,12044.36523
Samoa,6416.77832
Sao Tome and Principe,4051.604736
Saudi Arabia,44328.18359
Senegal,3320.675537
Serbia,18255.05469
Seychelles,24427.71289
Sierra Leone,1637.296631
Singapore,93397.04688
Slovakia,30509.76953
Slovenia,37050.54688
Solomon Islands,2482.871826
Somalia,1180.965942
South Africa,12665.83203
South Asia,5814.122559
South Korea,42335.86719
Spain,36210.875
Sri Lanka,12536.94141
Sub-Saharan Africa,3718.469482
Sudan,3927.043945
Suriname,15864.55078
Sweden,50923.10938
Switzerland,68755.4375
Tajikistan,3657.573486
Tanzania,2635.356689
Thailand,17284.70117
Timor,3925.948242
Togo,2107.877686
Tonga,6346.999512
Trinidad and Tobago,23722.47852
Tunisia,10260.06543
Turkey,28393.4668
Turks and Caicos Islands,21126.94922
Tuvalu,4411.00293
Uganda,2175.031006
Ukraine,12375.92188
United Arab Emirates,63299.42188
United Kingdom,42675.78125
United States,59919.82031
Upper middle income,17102.67188
Uruguay,21608.42969
Uzbekistan,7331.859863
Vanuatu,2854.29248
Vietnam,8200.332031
World,16185.16504
Zambia,3277.816406
Zimbabwe,3353.411377